"Search for...";"Search products you are looking for.."
"The member will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used.";"The consumer will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used."
"The amount to charge the member. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan.";"The amount to charge the consumer. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan."
"How often should members in this plan be billed?";"How often should consumers in this plan be billed?"
"Can members choose this plan? Please note that disabling this plan will grandfather in existing plan members until they pick a new plan.";"Can consumers choose this plan? Please note that disabling this plan will grandfather in existing plan consumers until they pick a new plan."
"Can members choose this plan on signup?";"Can consumers choose this plan on signup?"
"PAYMENT_VIEWS_ADMIN_SUBSCRIPTION_INDEX_DESCRIPTION";"Browse and manage
subscriptions. The search box will look through consumer name, username, and
email."
"Deleted Member";"Deleted Consumer"
"_EMAIL_PAYMENT_SUBSCRIPTION_ACTIVE_DESCRIPTION";"This is the email that gets sent to a consumer when their subscription is activated."
"_EMAIL_PAYMENT_SUBSCRIPTION_CANCELLED_DESCRIPTION";"This is the email that gets sent to a consumer when their subscription is cancelled."
"_EMAIL_PAYMENT_SUBSCRIPTION_EXPIRED_DESCRIPTION";"This is the email that gets sent to a consumer when their subscription expires."
"_EMAIL_PAYMENT_SUBSCRIPTION_OVERDUE_DESCRIPTION";"This is the email that gets sent to a consumer when their subscription is overdue."
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_DESCRIPTION";"This is the email that gets sent to a consumer when their subscription is pending."
"_EMAIL_PAYMENT_SUBSCRIPTION_PENDING_BODY";"[header]

Thank you for subscribing to our social network! Your subscription is
pending, awaiting completion of the transaction. Your membership will be
activated soon; we will notify you by email when it is ready.
Thank you for your patience.

[subscription_title]
[subscription_description]
[subscription_terms]

[footer]"
"_EMAIL_PAYMENT_SUBSCRIPTION_RECURRENCE_DESCRIPTION";"This is the email that gets sent to a consumer when they are billed for a recurring payment."
"_EMAIL_PAYMENT_SUBSCRIPTION_REFUNDED_DESCRIPTION";"This is the email that gets sent to a consumer when their subscription is refunded."
"If yes, click the button below and you will be taken to a payment page. When you have completed your payment, please remember to click the button that takes you back to our site.";"If yes, click the button below and you will be taken to a payment page. When you have completed your payment, please remember to click the button that takes you back to our site."
"You have selected an account type that requires recurring subscription payments. You will be taken to a secure checkout area where you can setup your subscription. Remember to continue back to our site after your purchase to sign in to your account.";"You have selected an account type that requires recurring subscription payments. You will be taken to a secure checkout area where you can setup your subscription. Remember to continue back to our site after your purchase to sign in to your account."
"Current Member Level";"Current Consumer Level"
"Plan Member Level";"Plan Consumer Level"
"Member Subscription History";"Consumer Subscription History"
"Member Transaction History";"Consumer Transaction History"
100016132;"Control if you want to show rank calculated from the table below on consumer's profile and user home page."
100016438;"Direct purchasing allows your consumers to exchange real money for Badges."
100016643;"You are currently editing this user level's settings. Remember, these settings only apply to the users that belong to this user level. When you're finished, you can edit the <a href='admin_levels.php'>other levels here</a>."
"ACTIVITYPOINTS_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"You should only make those albums as ""Album of the Day"" which have their view privacy set as 'Everyone' or 'All Registered Members";"You should only make those albums as ""Album of the Day"" which have their view privacy set as 'Everyone' or 'All Registered Consumers"
"_ACTIVITY_ACTIONTYPE_SITESTOREALBUM_PHOTO_NEW";"New showroom photo albums creates by consumer"
"You should only make those albums as ""Album of the Day"" which have their view privacy set as 'Everyone' or 'All Registered Members'.";"You should only make those albums as ""Album of the Day"" which have their view privacy set as 'Everyone' or 'All Registered Consumers'."
"_EMAIL_SITESTOREALBUM_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and showroom admin of the Showroom when consumer create a showroom album in showroom."
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_USERDELETE_DESCRIPTION";"Do you want to give consumers the option of deleting feed items published about themselves? This is generally an important freedom to give consumers since it helps them maintain their privacy."
"Yes, allow members to delete their feed items.";"Yes, allow consumers to delete their feed items."
"No, members may not delete their feed items.";"No, consumers may not delete their feed items."
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_CONTENT_DESCRIPTION";"When a consumer is looking at the recent activity feed, whose actions should they see? For smaller networks, it may make more sense to show recent actions from ""All Consumers"" so the feed is quickly populated."
"ACTIVITY_FORM_ADMIN_SETTINGS_GENERAL_FILTER_DESCRIPTION";"Do you want to allow consumers to decide which feed items they want to see in the main activity feed? If you enable this feature, consumers will be able specify which items types they do and do not want to see in their recent activity feed."
"Yes, members can choose not to see certain feed item types.";"Yes, consumers can choose not to see certain feed item types."
